nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 0.0133 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0457 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0156 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0412 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0373 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1396 | Test  Acc: 0.9648
 SVHN       | Test  Loss: 0.9498 | Test  Acc: 0.7004
 USPS       | Test  Loss: 0.1373 | Test  Acc: 0.9613
 SynthDigits| Test  Loss: 0.6211 | Test  Acc: 0.8098
 MNIST-M    | Test  Loss: 0.7040 | Test  Acc: 0.7770
============ Train epoch 32 ============
 MNIST      | Train Loss: 0.0151 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0511 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0144 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0328 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0375 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1451 | Test  Acc: 0.9632
 SVHN       | Test  Loss: 0.9726 | Test  Acc: 0.6926
 USPS       | Test  Loss: 0.1432 | Test  Acc: 0.9608
 SynthDigits| Test  Loss: 0.6117 | Test  Acc: 0.8115
 MNIST-M    | Test  Loss: 0.6979 | Test  Acc: 0.7855
============ Train epoch 33 ============
 MNIST      | Train Loss: 0.0118 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0416 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0112 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0294 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0330 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1419 | Test  Acc: 0.9626
 SVHN       | Test  Loss: 0.9595 | Test  Acc: 0.6968
 USPS       | Test  Loss: 0.1437 | Test  Acc: 0.9608
 SynthDigits| Test  Loss: 0.6033 | Test  Acc: 0.8144
 MNIST-M    | Test  Loss: 0.6904 | Test  Acc: 0.7865
============ Train epoch 34 ============
 MNIST      | Train Loss: 0.0106 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0388 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0100 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0269 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0288 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1337 | Test  Acc: 0.9646
 SVHN       | Test  Loss: 0.9480 | Test  Acc: 0.7016
 USPS       | Test  Loss: 0.1393 | Test  Acc: 0.9634
 SynthDigits| Test  Loss: 0.5967 | Test  Acc: 0.8156
 MNIST-M    | Test  Loss: 0.6901 | Test  Acc: 0.7811
============ Train epoch 35 ============
 MNIST      | Train Loss: 0.0115 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0343 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0102 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0273 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0292 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1398 | Test  Acc: 0.9633
 SVHN       | Test  Loss: 0.9442 | Test  Acc: 0.7041
 USPS       | Test  Loss: 0.1409 | Test  Acc: 0.9591
 SynthDigits| Test  Loss: 0.5971 | Test  Acc: 0.8168
 MNIST-M    | Test  Loss: 0.6835 | Test  Acc: 0.7863
============ Train epoch 36 ============
 MNIST      | Train Loss: 0.0102 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0343 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0104 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0251 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0260 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1379 | Test  Acc: 0.9636
 SVHN       | Test  Loss: 0.9484 | Test  Acc: 0.7018
 USPS       | Test  Loss: 0.1386 | Test  Acc: 0.9640
 SynthDigits| Test  Loss: 0.5867 | Test  Acc: 0.8194
 MNIST-M    | Test  Loss: 0.6780 | Test  Acc: 0.7850
============ Train epoch 37 ============
 MNIST      | Train Loss: 0.0103 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0347 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0100 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0247 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0236 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1382 | Test  Acc: 0.9629
 SVHN       | Test  Loss: 0.9506 | Test  Acc: 0.7024
