nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 0.0290 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5847 | Train Acc: 0.8506
 USPS       | Train Loss: 0.0524 | Train Acc: 0.9865
 SynthDigits| Train Loss: 0.1217 | Train Acc: 0.9906
 MNIST-M    | Train Loss: 0.0971 | Train Acc: 0.9946
 MNIST      | Test  Loss: 0.1622 | Test  Acc: 0.9569
 SVHN       | Test  Loss: 1.3449 | Test  Acc: 0.5559
 USPS       | Test  Loss: 0.2102 | Test  Acc: 0.9382
 SynthDigits| Test  Loss: 0.7056 | Test  Acc: 0.7735
 MNIST-M    | Test  Loss: 0.7447 | Test  Acc: 0.7594
============ Train epoch 25 ============
 MNIST      | Train Loss: 0.0544 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.4493 | Train Acc: 0.9381
 USPS       | Train Loss: 0.0355 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.0945 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1368 | Train Acc: 0.9906
 MNIST      | Test  Loss: 0.1901 | Test  Acc: 0.9493
 SVHN       | Test  Loss: 1.1949 | Test  Acc: 0.6105
 USPS       | Test  Loss: 0.1772 | Test  Acc: 0.9516
 SynthDigits| Test  Loss: 0.6611 | Test  Acc: 0.7907
 MNIST-M    | Test  Loss: 0.8459 | Test  Acc: 0.7246
============ Train epoch 26 ============
 MNIST      | Train Loss: 0.0795 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.4383 | Train Acc: 0.9367
 USPS       | Train Loss: 0.0427 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.1010 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1272 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.2083 | Test  Acc: 0.9471
 SVHN       | Test  Loss: 1.1861 | Test  Acc: 0.6104
 USPS       | Test  Loss: 0.1780 | Test  Acc: 0.9484
 SynthDigits| Test  Loss: 0.6721 | Test  Acc: 0.7870
 MNIST-M    | Test  Loss: 0.8448 | Test  Acc: 0.7223
============ Train epoch 27 ============
