nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 USPS       | Test  Loss: 0.1964 | Test  Acc: 0.9468
 SynthDigits| Test  Loss: 0.6236 | Test  Acc: 0.8020
 MNIST-M    | Test  Loss: 0.7114 | Test  Acc: 0.7685
============ Train epoch 33 ============
 MNIST      | Train Loss: 0.0213 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4030 | Train Acc: 0.9287
 USPS       | Train Loss: 0.0359 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.0488 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0581 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1505 | Test  Acc: 0.9579
 SVHN       | Test  Loss: 1.1935 | Test  Acc: 0.6051
 USPS       | Test  Loss: 0.1926 | Test  Acc: 0.9495
 SynthDigits| Test  Loss: 0.6118 | Test  Acc: 0.8062
 MNIST-M    | Test  Loss: 0.7312 | Test  Acc: 0.7581
============ Train epoch 34 ============
 MNIST      | Train Loss: 0.0291 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.3976 | Train Acc: 0.9408
 USPS       | Train Loss: 0.0268 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.0517 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0688 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1528 | Test  Acc: 0.9592
 SVHN       | Test  Loss: 1.1687 | Test  Acc: 0.6199
 USPS       | Test  Loss: 0.1855 | Test  Acc: 0.9462
 SynthDigits| Test  Loss: 0.6262 | Test  Acc: 0.8023
 MNIST-M    | Test  Loss: 0.7611 | Test  Acc: 0.7521
============ Train epoch 35 ============
 MNIST      | Train Loss: 0.0412 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4074 | Train Acc: 0.9125
 USPS       | Train Loss: 0.0346 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.0611 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0930 | Train Acc: 0.9919
 MNIST      | Test  Loss: 0.1706 | Test  Acc: 0.9564
