nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 SVHN       | Test  Loss: 0.9879 | Test  Acc: 0.6830
 USPS       | Test  Loss: 0.1530 | Test  Acc: 0.9570
 SynthDigits| Test  Loss: 0.6199 | Test  Acc: 0.8044
 MNIST-M    | Test  Loss: 0.6984 | Test  Acc: 0.7744
============ Train epoch 24 ============
 MNIST      | Train Loss: 0.0228 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0898 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0179 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0644 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0542 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1694 | Test  Acc: 0.9543
 SVHN       | Test  Loss: 1.0258 | Test  Acc: 0.6701
 USPS       | Test  Loss: 0.1540 | Test  Acc: 0.9586
 SynthDigits| Test  Loss: 0.6455 | Test  Acc: 0.7961
 MNIST-M    | Test  Loss: 0.7359 | Test  Acc: 0.7580
============ Train epoch 25 ============
 MNIST      | Train Loss: 0.0153 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0733 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0228 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0502 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0479 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1386 | Test  Acc: 0.9619
 SVHN       | Test  Loss: 1.0071 | Test  Acc: 0.6765
 USPS       | Test  Loss: 0.1448 | Test  Acc: 0.9613
 SynthDigits| Test  Loss: 0.6236 | Test  Acc: 0.8039
 MNIST-M    | Test  Loss: 0.7104 | Test  Acc: 0.7707
============ Train epoch 26 ============
 MNIST      | Train Loss: 0.0180 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0988 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0200 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0648 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0496 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1464 | Test  Acc: 0.9592
 SVHN       | Test  Loss: 1.0307 | Test  Acc: 0.6681
 USPS       | Test  Loss: 0.1456 | Test  Acc: 0.9575
 SynthDigits| Test  Loss: 0.6614 | Test  Acc: 0.7910
 MNIST-M    | Test  Loss: 0.7138 | Test  Acc: 0.7707
============ Train epoch 27 ============
 MNIST      | Train Loss: 0.0149 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0557 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0181 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0428 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0408 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1424 | Test  Acc: 0.9609
 SVHN       | Test  Loss: 0.9654 | Test  Acc: 0.6920
 USPS       | Test  Loss: 0.1503 | Test  Acc: 0.9591
 SynthDigits| Test  Loss: 0.6112 | Test  Acc: 0.8090
 MNIST-M    | Test  Loss: 0.6957 | Test  Acc: 0.7780
============ Train epoch 28 ============
 MNIST      | Train Loss: 0.0106 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0460 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0126 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0331 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0351 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1342 | Test  Acc: 0.9626
 SVHN       | Test  Loss: 0.9322 | Test  Acc: 0.7038
 USPS       | Test  Loss: 0.1434 | Test  Acc: 0.9613
 SynthDigits| Test  Loss: 0.5901 | Test  Acc: 0.8153
 MNIST-M    | Test  Loss: 0.6837 | Test  Acc: 0.7823
============ Train epoch 29 ============
 MNIST      | Train Loss: 0.0113 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0925 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0280 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.0540 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0428 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1406 | Test  Acc: 0.9585
 SVHN       | Test  Loss: 1.0059 | Test  Acc: 0.6805
 USPS       | Test  Loss: 0.1631 | Test  Acc: 0.9581
 SynthDigits| Test  Loss: 0.6238 | Test  Acc: 0.8042
 MNIST-M    | Test  Loss: 0.7016 | Test  Acc: 0.7762
============ Train epoch 30 ============
 MNIST      | Train Loss: 0.0088 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0369 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0080 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0275 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0274 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1334 | Test  Acc: 0.9611
 SVHN       | Test  Loss: 0.9382 | Test  Acc: 0.7006
 USPS       | Test  Loss: 0.1444 | Test  Acc: 0.9629
 SynthDigits| Test  Loss: 0.5951 | Test  Acc: 0.8123
 MNIST-M    | Test  Loss: 0.6657 | Test  Acc: 0.7869
============ Train epoch 31 ============
 MNIST      | Train Loss: 0.0069 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0372 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0066 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0293 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0317 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1317 | Test  Acc: 0.9612
 SVHN       | Test  Loss: 0.9396 | Test  Acc: 0.7036
 USPS       | Test  Loss: 0.1368 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6039 | Test  Acc: 0.8100
 MNIST-M    | Test  Loss: 0.6716 | Test  Acc: 0.7851
============ Train epoch 32 ============
 MNIST      | Train Loss: 0.0065 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0317 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0063 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0266 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0224 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1260 | Test  Acc: 0.9632
